n,s,t,fw_obj,fw_gap,fw_k,fw_runtime,fwls_obj,fwls_gap,fwls_k,fwls_runtime,spectral_bound_val
63,50,5,-3.5001073254920536,0.0009977563401214306,31,1.5081823,-3.4985085646663494,2.7914603398838497e-16,2,0.3629071,-3.8976183563182145
63,50,10,-12.218523413757854,0.0009963363377252217,33,0.0595694,-12.21592281476821,3.2235626600328376e-16,2,0.062108,-13.61422079074898
63,50,15,-22.738270862926186,0.0009500176574386166,36,0.0449561,-22.769339300418068,7.563773500223834e-18,3,0.1152192,-25.662600495165734
63,50,20,-34.06140154461263,0.0009869228877830742,35,0.0419458,-34.05730495994658,3.669624930722837e-16,2,0.0883453,-38.75176489256078
63,50,25,-46.31016341132581,0.0009738774033657785,36,0.0478729,-46.30563746467679,3.8452432892725517e-16,2,0.070388,-53.258161005607185
63,50,30,-58.8170734645275,0.0009725630673730513,37,0.0452629,-58.811885800411304,4.048777519606173e-16,2,0.0588374,-68.19915900217616
63,50,35,-72.10400626675188,0.0009771196167970436,38,0.0401449,-72.09828660414358,4.2636433802774523e-16,2,0.0687926,-84.5325475390627
63,50,40,-86.0470354942652,0.0009624645257303039,39,0.0458871,-86.04104608697665,4.4119694735568806e-16,2,0.068167,-102.1050775163859
63,50,45,-100.73703894657429,0.0009884228861036638,39,0.0483617,-100.73064562273555,4.522845170179711e-16,2,0.0819304,-121.3121731522672
63,50,50,-116.16318946018518,0.0009550568019579488,40,0.0650367,-116.15678621254004,4.591091305594764e-16,2,0.0747013,-142.69675592510646
