n,s,t,z_ls,z_spec,z_ddfact,z_aug_ddfact
63.0,20.0,1.0,0.05401470709958268,0.42996820372068917,1.2607308293839177,1.0732373334476186
63.0,20.0,2.0,-0.7129216820403034,-0.03927191270834318,1.1351676126642165,0.781771007495128
63.0,20.0,3.0,-2.064864737823661,-0.6544762944575357,0.48635625215863304,-0.011698646644616239
63.0,20.0,4.0,-3.6036245270817195,-1.8970129958084518,-0.5065745144140659,-1.1660840575479088
63.0,20.0,5.0,-5.394922271558802,-3.2213915142571183,-1.8104942647418563,-2.626608975235622
63.0,20.0,6.0,-7.317329898715062,-4.6773773504216605,-3.364265203059388,-4.3065408576081525
63.0,20.0,7.0,-9.311436577704193,-6.329085777016917,-5.116545252981145,-6.1806618300199565
63.0,20.0,8.0,-11.365593126504884,-8.010962491940045,-7.052901599623621,-8.217886429609973
63.0,20.0,9.0,-13.439059407352481,-9.787464773426127,-9.152657896760436,-10.3853004812679
63.0,20.0,10.0,-15.633226912781117,-11.656328929990405,-11.39278560527668,-12.658601735992109
63.0,20.0,11.0,-17.820387735254307,-13.611394571299236,-13.753261590163087,-15.030246270474269
63.0,20.0,12.0,-20.097016098941538,-15.59671965923054,-16.2247811682126,-17.489935103780567
63.0,20.0,13.0,-22.48577041897824,-17.65888466905406,-18.8033591502087,-20.030199500645125
63.0,20.0,14.0,-24.863956174356264,-19.74714859574055,-21.48146461218521,-22.637706251880978
63.0,20.0,15.0,-27.25583443871075,-21.841289542111987,-24.251731765456054,-25.31458373473891
63.0,20.0,16.0,-29.675124474627275,-23.992578775709518,-27.112318558059147,-28.059382128017702
63.0,20.0,17.0,-32.15087099821121,-26.190356808417746,-30.065758405839453,-30.86498958699155
63.0,20.0,18.0,-34.65971822451667,-28.45198263604191,-33.10670931449395,-33.72865341032198
63.0,20.0,19.0,-37.215905021340895,-30.732604710826067,-36.23313276925856,-36.646194890402754
63.0,20.0,20.0,-39.85027861665516,-33.03196196176974,-39.447289416407926,-39.61577086938871
