n,s,t,fw_obj,fw_gap,fw_k,fw_runtime,fwls_obj,fwls_gap,fwls_k,fwls_runtime,simplex_obj,spectral_bound_val
63,40,1,1.5459271756237445,0.0009589728846570566,19.0,0.0248605,1.5468856889876599,3.0077601856020704e-17,2.0,0.0762486,1.5468856889876599,0.42996820372068906
63,40,2,1.7199925812626875,0.0009571150095639693,27.0,0.0431244,1.7209494673280055,5.975134647450228e-17,2.0,0.0475216,1.7209494673280048,-0.039271912708345014
63,40,3,1.3841417379563468,0.0009607483987949057,33.0,0.0377541,1.385102332548397,8.902931360432551e-17,2.0,0.070027,1.385102332548397,-0.6544762944575351
63,40,4,0.7185563245898381,0.0009525537354372517,38.0,0.0439726,0.7195087528334964,1.1437766074861522e-16,2.0,0.0408999,0.7195087528334964,-1.8970129958084507
63,40,5,-0.23882966223198882,0.0009874090453164412,41.0,0.0489374,-0.23808409247479143,0.0009051922329795541,2.0,0.0704778,-0.23808409247479143,-3.2213915142571206
63,40,6,-1.4260199879560451,0.0009604918753054723,45.0,0.0785171,-1.425059590757601,1.473318003028694e-16,2.0,0.0648463,-1.4307448985886564,-4.677377350421661
63,40,7,-2.7957039374432595,0.0009764790107885142,48.0,0.0534088,-2.7948479069445895,0.0005121673535915277,2.0,0.0693447,-2.807389710282787,-6.329085777016919
63,40,8,-4.317589513170141,0.0009684730577168034,51.0,0.0568128,-4.316789015716098,0.0006891228799673349,4.0,0.0874285,-4.341937451344033,-8.010962491940045
63,40,9,-5.981195845815787,0.0009581012241693868,55.0,0.0441983,-5.980397215481702,0.000266684906651936,5.0,0.0622045,-6.0231205464518895,-9.787464773426128
63,40,10,-7.7620796910060275,0.0009253261671657791,57.0,0.0635709,-7.761498513185738,0.000778781757009843,5.0,0.108465,-7.827831329286386,-11.656328929990412
63,40,11,-9.647840738928771,0.0009652983000300607,59.0,0.0653136,-9.647053466089442,0.0007551173122391997,5.0,0.0898421,-9.738348055808618,-13.61139457129923
63,40,12,-11.629505776765193,0.0009635995872777372,60.0,0.4205281,-11.628933002347093,0.0006834988565152155,4.0,0.0679125,-11.744530644731116,-15.596719659230544
63,40,13,-13.701361585229893,0.0009676767683983297,62.0,0.0725769,-13.700611777462562,0.00036799370454416617,4.0,0.0768289,-13.840661511356585,-17.658884669054064
63,40,14,-15.852578229618622,0.0009506480485106448,65.0,0.0670035,-15.851677009193146,0.0004436874109720315,3.0,0.1149655,-16.01759694611954,-19.747148595740555
63,40,15,-18.075289053256366,0.0009194333291864849,69.0,0.0931579,-18.074468281697897,0.00040119956551343413,4.0,0.1071451,-18.271405654954357,-21.841289542111994
63,40,16,-20.366607853531047,0.0009988786175383665,69.0,0.1010664,-20.366321048047,0.000920550192405039,12.0,0.1888067,-20.593917580275445,-23.992578775709532
63,40,17,-22.719546357324493,0.0008215632797799106,78.0,0.0769578,-22.719139121082243,0.000877878074269951,9.0,0.1618838,-22.97903696458167,-26.190356808417746
63,40,18,-25.129409913511516,0.0008491551587312552,87.0,0.1332644,-25.12893040771084,0.0008973406294967893,7.0,0.1400846,-25.423860753289752,-28.4519826360419
63,40,19,-27.595319549022236,0.0009799113400179053,85.0,0.1358065,-27.595208889980043,0.0009643495123626797,27.0,0.4696239,-27.92513578191697,-30.73260471082607
63,40,20,-30.114064856943717,0.0009809744885692986,91.0,0.1177391,-30.113990984067467,0.0007971256167441226,35.0,0.4187149,-30.479031762725405,-33.03196196176974
63,40,21,-32.680878931774814,0.0007226747393156387,96.0,0.1182122,-32.68085825483877,0.0008431666034077385,43.0,0.5761546,-33.08364563715702,-35.365173644034954
63,40,22,-35.29245063416907,0.0009101222354582659,109.0,0.1033835,-35.29261913747179,0.0009736292050009521,44.0,0.6258578,-35.73763166512002,-37.75311629521704
63,40,23,-37.94807833796037,0.0008568351883005624,112.0,0.1058307,-37.9481518153508,0.0009738018003660137,58.0,0.7538217,-38.436471318003576,-40.164135509951315
63,40,24,-40.64575707308887,0.0008530740002376165,125.0,0.1016883,-40.645883597200836,0.0008397038876671151,73.0,0.8107292,-41.17803488986239,-42.59686236031906
63,40,25,-43.38350221581232,0.0007465703237629271,124.0,0.1139186,-43.38373738152257,0.0009897025773904747,71.0,0.8440142,-43.96077828223876,-45.0427381131496
63,40,26,-46.15964134284534,0.0009028433684693804,115.0,0.0938387,-46.15970513886877,0.0009461930794985655,91.0,1.1280294,-46.78206400845914,-47.5005284993762
63,40,27,-48.9717971402783,0.000957661942259301,129.0,0.1767947,-48.97198556853692,0.0009944374293623832,98.0,1.2241557,-49.641458104233806,-49.9762469706876
63,40,28,-51.81972055745743,0.0009662551055142997,147.0,0.1337058,-51.81998335342635,0.0009068213603008438,113.0,1.586553,-52.54028004342156,-52.46165381428198
63,40,29,-54.701475392584484,0.0007943779683800805,152.0,0.1911886,-54.701785156633875,0.000951294244669581,123.0,1.5340395,-55.4770544908784,-54.9716340265495
63,40,30,-57.615503826371175,0.0009655289672710303,182.0,0.1830313,-57.61587874450385,0.0009958813043282146,142.0,1.9950604,-58.449038947752484,-57.49258105904767
63,40,31,-60.561033080985595,0.000612289007109301,203.0,0.1903343,-60.561438818204124,0.0009996942478162957,155.0,2.1060799,-61.45609944260319,-60.056844158988156
63,40,32,-63.537217602260085,0.0008894386985547134,226.0,0.2384415,-63.537651637598636,0.0009903028113288177,173.0,2.3810635,-64.49732163211036,-62.660079102471634
63,40,33,-66.54485584491317,0.0007850260471669174,284.0,0.3099779,-66.54525151902337,0.000947332854879335,215.0,3.0418899,-67.5721887722083,-65.28513594586514
63,40,34,-69.58172446277861,0.0006404736785803985,270.0,0.2934423,-69.58195308250387,0.0009944735545478795,136.0,1.9086764,-70.68431285819106,-67.93201647370464
63,40,35,-72.64689861025248,0.0009605787474582903,342.0,0.3414533,-72.64746348083747,0.0009507320034264963,360.0,5.1671454,-73.83562822978095,-70.5938585844045
63,40,36,-75.74165343975594,0.0009114223360959211,335.0,0.3834593,-75.7422733522267,0.0009670704564840315,384.0,5.8352174,-77.0253226831098,-73.2918314305775
63,40,37,-78.86897498635392,0.0008103286879730859,458.0,0.5546151,-78.86956859270555,0.0009982235160430491,508.0,7.5906861,-80.25571065337425,-76.0137063188854
63,40,38,-82.03050434536742,0.00082938872515922,462.0,0.4568168,-82.03105626917986,0.0009740977347325792,556.0,10.7605963,-83.525040682285,-78.78470925616364
63,40,39,-85.22472731972886,0.0008506222585635199,518.0,0.4517772,-85.22535212707685,0.0009891892971190808,628.0,9.7666062,-86.8442618322626,-81.56034591713914
63,40,40,-88.45194232888238,0.0008864035913266906,673.0,0.7390752,-88.45253505840927,0.000969889283933518,1011.0,16.0652777,-76.3211710157567,-84.34820585731252
