n,s,t,fw_obj,fw_gap,fw_k,fw_runtime,fwls_obj,fwls_gap,fwls_k,fwls_runtime,spectral_bound_val
63,50,5,-3.7938451660772174,0.0009494278565079441,33,2.3786548,-3.7929120555401195,3.4559909198399065e-16,2,0.4739426,-3.2213915142571157
63,50,10,-12.495229598615701,0.0009545160780040289,46,0.217751,-12.49415399030223,8.445052829628285e-10,3,0.0734081,-11.656328929990401
63,50,15,-22.84241539186399,0.000957555932781302,57,0.0519811,-22.8412665790838,3.0914814186244637e-10,3,0.0808089,-21.84128954211199
63,50,20,-34.14150974746535,0.0009621382238291187,67,0.0651305,-34.140321440285454,4.525228200862926e-5,3,0.0709138,-33.03196196176974
63,50,25,-46.20837513131507,0.0009621101290370989,74,0.0680919,-46.20896104974911,0.0006267162884975615,8,0.147745,-45.0427381131496
63,50,30,-58.80638613405074,0.00075839126194516,98,0.1128857,-58.81158077010882,0.00081725221039022,20,0.4076762,-57.492581059047666
63,50,35,-72.18662818863469,0.0009608239222540779,147,0.1290587,-72.1871324313957,0.0009282860823516992,121,2.2594019,-70.5938585844045
63,50,40,-86.2346774595578,0.0009712555123637248,232,0.2226562,-86.23513556684505,0.000958766528345651,231,4.6230202,-84.34820585731252
63,50,45,-100.89458476939544,0.000998047079921877,313,0.2540761,-100.89614792218715,0.0009942180169437093,422,8.737093,-98.61164679461324
63,50,50,-116.73863013040236,0.0009059533954454675,1281,1.1644653,-116.7402973006881,0.0009901134757561744,1580,37.9179565,-113.49317610241975
